G1	Α
G2585	καπηλεύω
G2586	καπνός
G2587	Καππαδοκία
G2588	καρδία
G2589	καρδιογνώστης
G2590	καρπός
G2591	Κάρπος
G2592	καρποφορέω
G2593	καρποφόρος
G2594	καρτερέω
G2595	κάρφος
G2596	κατά
G2597	καταβαίνω
G2598	καταβάλλω
G2599	καταβαρέω
G2600	κατάβασις
G2601	καταβιβάζω
G2602	καταβολή
G2603	καταβραβεύω
G2604	καταγγελεύς
G2605	καταγγέλλω
G2606	καταγελάω
G2607	καταγινώσκω
G2608	κατάγνυμι
G2609	κατάγω
G2610	καταγωνίζομαι
G2611	καταδέω
G2612	κατάδηλος
G2613	καταδικάζω
G2614	καταδιώκω
G2615	καταδουλόω
G2616	καταδυναστεύω
G2617	καταισχύνω
G2618	κατακαίω
G2619	κατακαλύπτω
G2620	κατακαυχάομαι
G2621	κατάκειμαι
G2622	κατακλάω
G2623	κατακλείω
G2624	κατακληροδοτέω
G2625	κατακλίνω
G2626	κατακλύζω
G2627	κατακλυσμός
G2628	κατακολουθέω
G2629	κατακόπτω
G2630	κατακρημνίζω
G2631	κατάκριμα
G2632	κατακρίνω
G2633	κατάκρισις
G2634	κατακυριεύω
G2635	καταλαλέω
G2636	καταλαλία
G2637	κατάλαλος
G2638	καταλαμβάνω
G2639	καταλέγω
G2640	κατάλειμμα
G2641	καταλείπω
G2642	καταλιθάζω
G2643	καταλλαγή
G2644	καταλλάσσω
G2645	κατάλοιπος
G2646	κατάλυμα
G2647	καταλύω
G2648	καταμανθάνω
G2649	καταμαρτυρέω
G2650	καταμένω
G2651	καταμόνας
G2652	κατανάθεμα
G2653	καταναθεματίζω
G2654	καταναλίσκω
G2655	καταναρκάω
G2656	κατανεύω
G2657	κατανοέω
G2658	καταντάω
G2659	κατάνυξις
G2660	κατανύσσω
G2661	καταξιόω
G2662	καταπατέω
G2663	κατάπαυσις
G2664	καταπαύω
G2665	καταπέτασμα
G2666	καταπίνω
G2667	καταπίπτω
G2668	καταπλέω
G2669	καταπονέω
G2670	καταποντίζω
G2671	κατάρα
G2672	καταράομαι
G2673	καταργέω
G2674	καταριθμέω
G2675	καταρτίζω
G2676	κατάρτισις
G2677	καταρτισμός
G2678	κατασείω
G2679	κατασκάπτω
G2680	κατασκευάζω
G2681	κατασκηνόω
G2682	κατασκήνωσις
G2683	κατασκιάζω
G2684	κατασκοπέω
G2685	κατάσκοπος
G2686	κατασοφίζομαι
G2687	καταστέλλω
G2688	κατάστημα
G2689	καταστολή
G2690	καταστρέφω
G2691	καταστρηνιάω
G2692	καταστροφή
G2693	καταστρώννυμι
G2694	κατασύρω
G2695	κατασφάττω
G2696	κατασφραγίζω
G2697	κατάσχεσις
G2698	κατατίθημι
G2699	κατατομή
G2700	κατατοξεύω
G2701	κατατρέχω
G2702	καταφέρω
G2703	καταφεύγω
G2704	καταφθείρω
G2705	καταφιλέω
G2706	καταφρονέω
G2707	καταφροντής
G2708	καταχέω
G2709	καταχθόνιος
G2710	καταχράομαι
G2711	καταψύχω
G2712	κατείδωλος
G2713	κατέναντι
G2714	κατενώπιον
G2715	κατεξουσιάζω
G2716	κατεργάζομαι
G2718	κατέρχομαι
G2719	κατεσθίω
G2720	κατευθύνω
G2721	κατεφίστημι
G2722	κατέχω
G2723	κατηγορέω
G2724	κατηγορία
G2725	κατήγορος
G2726	κατήφεια
G2727	κατηχέω
G2728	κατιόω
G2729	κατισχύω
G2730	κατοικέω
G2731	κατοίκησις
G2732	κατοικητήριον
G2733	κατοικία
G2734	κατοπτρίζομαι
G2735	κατόρθωμα
G2736	κάτω
G2737	κατώτερος
G2738	καῦμα
G2739	καυματίζω
G2740	καῦσις
G2741	καυσόω
G2742	καύσων
G2743	καυτηριάζω
G2744	καυχάομαι
G2745	καύχημα
G2746	καύχησις
G2747	Κεγχρεαί
G2748	Κεδρών
G2749	κεῖμαι
G2750	κειρία
G2751	κείρω
G2752	κέλευμα
G2753	κελεύω
G2754	κενοδοξία
G2755	κενόδοξος
G2756	κενός
G2757	κενοφωνία
G2758	κενόω
G2759	κέντρον
G2760	κεντυρίων
G2761	κενῶς
G2762	κεραία
G2763	κεραμεύς
G2764	κεραμικός
G2765	κεράμιον
G2766	κέραμος
G2767	κεράννυμι
G2768	κέρας
G2769	κεράτιον
G2770	κερδαίνω
G2771	κέρδος
G2772	κέρμα
G2773	κερματιστής
G2774	κεφάλαιον
G2775	κεφαλαιόω
G2776	κεφαλή
G2777	κεφαλίς
G2778	κῆνσος
G2779	κῆπος
G2780	κηπουρός
G2781	κηρίον
G2782	κήρυγμα
G2783	κῆρυξ
G2784	κηρύσσω
G2785	κῆτος
G2786	Κηφᾶς
G2787	κιβωτός
G2788	κιθάρα
G2789	κιθαρίζω
G2790	κιθαρῳδός
G2791	Κιλικία
G2792	κινάμωμον
G2793	κινδυνεύω
G2794	κίνδυνος
G2795	κινέω
G2796	κίνησις
G2797	Κίς
G2798	κλάδος
G2799	κλαίω
G2800	κλάσις
G2801	κλάσμα
G2802	Κλαύδη
G2803	Κλαυδία
G2804	Κλαύδιος
G2805	κλαυθμός
G2806	κλάω
G2807	κλείς
G2808	κλείω
G2809	κλέμμα
G2810	Κλεόπας
G2811	κλέος
G2812	κλέπτης
G2813	κλέπτω
G2814	κλῆμα
G2815	Κλήμης
G2816	κληρονομέω
G2817	κληρονομία
G2818	κληρονόμος
G2819	κλῆρος
G2820	κληρόω
G2821	κλῆσις
G2822	κλητός
G2823	κλίβανος
G2824	κλίμα
G2825	κλίνη
G2826	κλινίδιον
G2827	κλίνω
G2828	κλισία
G2829	κλοπή
G2830	κλύδων
G2831	κλυδωνίζομαι
G2832	Κλωπᾶς
G2833	κνήθω
G2834	Κνίδος
G2835	κοδράντης
G2836	κοιλία
G2837	κοιμάω
G2838	κοίμησις
G2839	κοινός
G2840	κοινόω
G2841	κοινωνέω
G2842	κοινωνία
G2843	κοινωνικός
G2844	κοινωνός
G2845	κοίτη
G2846	κοιτών
G2847	κόκκινος
G2848	κόκκος
G2849	κολάζω
G2850	κολακεία
G2851	κόλασις
G2852	κολαφίζω
G2853	κολλάω
G2854	κολλούριον
G2855	κολλυβιστής
G2856	κολοβόω
G2857	Κολοσσαί
G2858	Κολοσσαεύς
G2859	κόλπος
G2860	κολυμβάω
G2861	κολυμβήθρα
G2862	κολωνία
G2863	κομάω
G2864	κόμη
G2865	κομίζω
G2866	κομψότερον
G2867	κονιάω
G2868	κονιορτός
G2869	κοπάζω
G2870	κοπετός
G2871	κοπή
G2872	κοπιάω
G2873	κόπος
G2874	κοπρία
G2875	κόπτω
G2876	κόραξ
G2877	κοράσιον
G2878	κορβᾶν
G2879	Κορέ
G2880	κορέννυμι
G2881	Κορίνθιος
G2882	Κόρινθος
G2883	Κορνήλιος
G2884	κόρος
G2885	κοσμέω
G2886	κοσμικός
G2887	κόσμιος
G2888	κοσμοκράτωρ
G2889	κόσμος
G2890	Κούαρτος
G2891	κοῦμι
G2892	κουστωδία
G2893	κουφίζω
G2894	κόφινος
G2895	κράββατος
G2896	κράζω
G2897	κραιπάλη
G2898	κρανίον
G2899	κράσπεδον
G2900	κραταιός
G2901	κραταιόω
G2902	κρατέω
G2903	κράτιστος
G2904	κράτος
G2905	κραυγάζω
G2906	κραυγή
G2907	κρέας
G2908	κρεῖσσον
G2909	κρείττων
G2910	κρεμάννυμι
G2911	κρημνός
G2912	Κρής
G2913	Κρήσκης
G2914	Κρήτη
G2915	κριθή
G2916	κρίθινος
G2917	κρίμα
G2918	κρίνον
G2919	κρίνω
G2920	κρίσις
G2921	Κρίσπος
G2922	κριτήριον
G2923	κριτής
G2924	κριτικός
G2925	κρούω
G2926	κρύπτη
G2927	κρυπτός
G2928	κρύπτω
G2929	κρυσταλλίζω
G2930	κρύσταλλος
G2931	κρυφῆ
G2932	κτάομαι
G2933	κτῆμα
G2934	κτῆνος
G2935	κτήτωρ
G2936	κτίζω
G2937	κτίσις
G2938	κτίσμα
G2939	κτίστης
G2940	κυβεία
G2941	κυβέρνησις
G2942	κυβερνήτης
G2943	κυκλόθεν
G2944	κυκλόω
G2945	κύκλῳ
G2946	κύλισμα
G2947	κυλιόω
G2948	κυλλός
G2949	κῦμα
G2950	κύμβαλον
G2951	κύμινον
G2952	κυνάριον
G2953	Κύπριος
G2954	Κύπρος
G2955	κύπτω
G2956	Κυρηναῖος
G2957	Κυρήνη
G2958	Κυρήνιος
G2959	Κυρία
G2960	κυριακός
G2961	κυριεύω
G2962	κύριος
G2963	κυριότης
G2964	κυρόω
G2965	κύων
G2966	κῶλον
G2967	κωλύω
G2968	κώμη
G2969	κωμόπολις
G2970	κῶμος
G2971	κώνωψ
G2972	Κώς
G2973	Κωσάμ
G2974	κωφός
G2975	λαγχάνω
G2976	Λάζαρος
G2977	λάθρα
G2978	λαῖλαψ
G2979	λακτίζω
G2980	λαλέω
G2981	λαλιά
G2982	λαμά
G2983	λαμβάνω
G2984	Λάμεχ
G2985	λαμπάς
G2986	λαμπρός
G2987	λαμπρότης
G2988	λαμπρῶς
G2989	λάμπω
G2990	λανθάνω
G2991	λαξευτός
G2992	λαός
G2993	Λαοδίκεια
G2994	Λαοδικεύς
G2995	λάρυγξ
G2996	Λασαία
G2997	λάσχω
G2998	λατομέω
G2999	λατρεία
G3000	λατρεύω
G3001	λάχανον
G3002	Λεββαῖος
G3003	λεγεών
G3004	λέγω
G3005	λεῖμμα
G3006	λεῖος
G3007	λείπω
G3008	λειτουργέω
G3009	λειτουργία
G3010	λειτουργικός
G3011	λειτουργός
G3012	λέντιον
G3013	λεπίς
G3014	λέπρα
G3015	λεπρός
G3016	λεπτόν
G3017	Λευΐ
G3018	Λευΐς
G3019	Λευΐτης
G3020	Λευϊτικός
G3021	λευκαίνω
G3022	λευκός
G3023	λέων
G3024	λήθη
G3025	ληνός
G3026	λῆρος
G3027	λῃστής
G3028	λῆμψις
G3029	λίαν
G3030	λίβανος
G3031	λιβανωτός
G3032	Λιβερτῖνος
G3033	Λιβύη
G3034	λιθάζω
G3035	λίθινος
G3036	λιθοβολέω
G3037	λίθος
G3038	λιθόστρωτος
G3039	λικμάω
G3040	λιμήν
G3041	λίμνη
G3042	λιμός
G3043	λίνον
G3044	Λίνος
G3045	λιπαρός
G3046	λίτρα
G3047	λίψ
G3048	λογία
G3049	λογίζομαι
G3050	λογικός
G3051	λόγιον
G3052	λόγιος
G3053	λογισμός
G3054	λογομαχέω
G3055	λογομαχία
G3056	λόγος
G3057	λόγχη
G3058	λοιδορέω
G3059	λοιδορία
G3060	λοίδορος
G3061	λοιμός
G3062	λοιποί
G3063	λοιπόν
G3064	λοιποῦ
G3065	Λουκᾶς
G3066	Λούκιος
G3067	λουτρόν
G3068	λούω
G3069	Λύδδα
G3070	Λυδία
G3071	Λυκαονία
G3072	Λυκαονιστί
G3073	Λυκία
G3074	λύκος
G3075	λυμαίνομαι
G3076	λυπέω
G3077	λύπη
G3078	Λυσανίας
G3079	Λυσίας
G3080	λύσις
G3081	λυσιτελεῖ
G3082	Λύστρα
G3083	λύτρον
G3084	λυτρόω
G3085	λύτρωσις
G3086	λυτρωτής
G3087	λυχνία
G3088	λύχνος
G3089	λύω
G3090	Λωΐς
G3091	Λώτ
G3092	Μαάθ
G3093	Μαγδαλά
G3094	Μαγδαληνή
G3095	μαγεία
G3096	μαγεύω
G3097	μάγος
G3098	Μαγώγ
G3099	Μαδιάν
G3100	μαθητεύω
G3101	μαθητής
G3102	μαθήτρια
G3103	Μαθουσάλα
G3104	Μαϊνάν
G3105	μαίνομαι
G3106	μακαρίζω
G3107	μακάριος
G3108	μακαρισμός
G3109	Μακεδονία
G3110	Μακεδών
G3111	μάκελλον
G3112	μακράν
G3113	μακρόθεν
G3114	μακροθυμέω
G3115	μακροθυμία
G3116	μακροθυμώς
G3117	μακρός
G3118	μακροχρόνιος
G3119	μαλακία
G3120	μαλακός
G3121	Μαλελεήλ
G3122	μάλιστα
G3123	μᾶλλον
G3124	Μάλχος
G3125	μάμμη
G3126	μαμμωνᾶς
G3127	Μαναήν
G3128	Μανασσῆς
G3129	μανθάνω
G3130	μανία
G3131	μάννα
G3132	μαντεύομαι
G3133	μαραίνω
G3134	μαρὰν ἀθά
G3135	μαργαρίτης
G3136	Μάρθα
G3137	Μαρία
G3138	Μάρκος
G3139	μάρμαρος
G3140	μαρτυρέω
G3141	μαρτυρία
G3142	μαρτύριον
G3143	μαρτύρομαι
G3144	μάρτυς
G3145	μασσάομαι
G3146	μαστιγόω
G3147	μαστίζω
G3148	μάστιξ
G3149	μαστός
G3150	ματαιολογία
G3151	ματαιολόγος
G3152	μάταιος
G3153	ματαιότης
G3154	ματαιόω
G3155	μάτην
G3156	Ματθαῖος
G3157	Ματθάν
G3158	Ματθάτ
G3159	Ματθίας
G3160	Ματταθά
G3161	Ματταθίας
G3162	μάχαιρα
G3163	μάχη
G3164	μάχομαι
G3165	μέ
G3166	μεγαλαυχέω
G3167	μεγαλεῖος
G3168	μεγαλειότης
G3169	μεγαλοπρεπής
G3170	μεγαλύνω
G3171	μεγάλως
G3172	μεγαλωσύνη
G3173	μέγας
G3174	μέγεθος
G3175	μεγιστᾶνες
G3176	μέγιστος
G3177	μεθερμηνεύω
G3178	μέθη
G3179	μεθίστημι
G3180	μεθοδεία
G3181	μεθόριος
G3182	μεθύσκω
G3183	μέθυσος
G3184	μεθύω
G3185	μεῖζον
G3186	μειζότερος
G3187	μείζων
G3188	μέλαν
G3189	μέλας
G3190	Μελεᾶς
G3191	μελετάω
G3192	μέλι
G3193	μελίσσιος
G3194	Μελίτη
G3195	μέλλω
G3196	μέλος
G3197	Μελχί
G3198	Μελχισεδέκ
G3199	μέλω
G3200	μεμβράνα
G3201	μέμφομαι
G3202	μεμψίμοιρος
G3303	μέν
G3304	μενοῦνγε
G3305	μέντοι
G3306	μένω
G3307	μερίζω
G3308	μέριμνα
G3309	μεριμνάω
G3310	μερίς
G3311	μερισμός
G3312	μεριστής
G3313	μέρος
G3314	μεσημβρία
G3315	μεσιτεύω
G3316	μεσίτης
G3317	μεσονύκτιον
G3318	Μεσοποταμία
G3319	μέσος
G3320	μεσότοιχον
G3321	μεσουράνημα
G3322	μεσόω
G3323	Μεσσίας
G3324	μεστός
G3325	μεστόω
G3326	μετά
G3327	μεταβαίνω
G3328	μεταβάλλω
G3329	μετάγω
G3330	μεταδίδωμι
G3331	μετάθεσις
G3332	μεταίρω
G3333	μετακαλέω
G3334	μετακινέω
G3335	μεταλαμβάνω
G3336	μετάλημψις
G3337	μεταλλάσσω
G3338	μεταμέλλομαι
G3339	μεταμορφόω
G3340	μετανοέω
G3341	μετάνοια
G3342	μεταξύ
G3343	μεταπέμπω
G3344	μεταστρέφω
G3345	μετασχηματίζω
G3346	μετατίθημι
G3347	μετέπειτα
G3348	μετέχω
G3349	μετεωρίζω
G3350	μετοικεσία
G3351	μετοικίζω
G3352	μετοχή
G3353	μέτοχος
G3354	μετρέω
G3355	μετρητής
G3356	μετριοπαθέω
G3357	μετρίως
G3358	μέτρον
G3359	μέτωπον
G3360	μέχρι
G3361	μή
G3362	ἐὰν μή
G3363	ἵνα μή
G3364	οὐ μή
G3365	μηδαμῶς
G3366	μηδέ
G3367	μηδείς
G3368	μηδέποτε
G3369	μηδέπω
G3370	Μῆδος
G3371	μηκέτι
G3372	μῆκος
G3373	μηκύνω
G3374	μηλωτή
G3375	μήν_1
G3376	μήν_2
G3377	μηνύω
G3378	μὴ οὐκ
G3379	μήποτε
G3380	μήπω
G3381	μήπως
G3382	μηρός
G3383	μήτε
G3384	μήτηρ
G3385	μήτι
G3386	μήτιγε
G3387	μήτις
G3388	μήτρα
G3389	μητραλῴας
G3390	μητρόπολις
G3391	μία
G3392	μιαίνω
G3393	μίασμα
G3394	μιασμός
G3395	μίγμα
G3396	μίγνυμι
G3397	μικρόν
G3398	μικρός
G3399	Μίλητος
G3400	μίλιον
G3401	μιμέομαι
G3402	μιμητής
G3403	μιμνήσκω
G3404	μισέω
G3405	μισθαποδοσία
G3406	μισθαποδότης
G3407	μίσθιος
G3408	μισθός
G3409	μισθόω
G3410	μίσθωμα
G3411	μισθωτός
G3412	Μιτυλήνη
G3413	Μιχαήλ
G3414	μνᾶ
G3415	μνάομαι
G3416	Μνάσων
G3417	μνεία
G3418	μνῆμα
G3419	μνημεῖον
G3420	μνήμη
G3421	μνημονεύω
G3422	μνημόσυνον
G3423	μνηστεύω
G3424	μογιλάλος
G3425	μόγις
G3426	μόδιος
G3427	μοί
G3428	μοιχαλίς
G3429	μοιχάω
G3430	μοιχεία
G3431	μοιχεύω
G3432	μοιχός
G3433	μόλις
G3434	Μολόχ
G3435	μολύνω
G3436	μολυσμός
G3437	μομφή
G3438	μονή
G3439	μονογενής
G3440	μόνον
G3441	μόνος
G3442	μονόφθαλμος
G3443	μονόω
G3444	μορφή
G3445	μορφόω
G3446	μόρφωσις
G3447	μοσχοποιέω
G3448	μόσχος
G3449	μόχθος
G3450	μοῦ
G3451	μουσικός
G3452	μυελός
G3453	μυέω
G3454	μῦθος
G3455	μυκάομαι
G3456	μυκτηρίζω
G3457	μυλικός
G3458	μύλος
G3459	μύλων
G3460	Μύρα
G3461	μυριάς
G3462	μυρίζω
G3463	μύριοι
G3464	μύρον
G3465	Μυσία
G3466	μυστήριον
G3467	μυωπάζω
G3468	μώλωψ
G3469	μωμάομαι
G3470	μῶμος
G3471	μωραίνω
G3472	μωρία
G3473	μωρολογία
G3474	μωρός
G3475	Μωσεύς
G3476	Ναασσών
G3477	Ναγγαί
G3478	Ναζαρέθ
G3479	Ναζαρηνός
G3480	Ναζωραῖος
G3481	Ναθάν
G3482	Ναθαναήλ
G3483	ναί
G3484	Ναΐν
G3485	ναός
G3486	Ναούμ
G3487	νάρδος
G3488	Νάρκισσος
G3489	ναυαγέω
G3490	ναύκληρος
G3491	ναῦς
G3492	ναύτης
G3493	Ναχώρ
G3494	νεανίας
G3495	νεανίσκος
G3496	Νεάπολις
G3497	Νεεμάν
G3498	νεκρός
G3499	νεκρόω
G3500	νέκρωσις
G3501	νέος
G3502	νεοσσός
G3503	νεότης
G3504	νεόφυτος
G3505	Νέρων
G3506	νεύω
G3507	νεφέλη
G3508	Νεφθαλείμ
G3509	νέφος
G3510	νεφρός
G3511	νεωκόρος
G3512	νεωτερικός
G3513	νή
G3514	νήθω
G3515	νηπιάζω
G3516	νήπιος
G3517	Νηρεύς
G3518	Νηρί
G3519	νησίον
G3520	νῆσος
G3521	νηστεία
G3522	νηστεύω
G3523	νῆστις
G3524	νηφάλεος
G3525	νήφω
G3526	Νίγερ
G3527	Νικάνωρ
G3528	νικάω
G3529	νίκη
G3530	Νικόδημος
G3531	Νικολαΐτης
G3532	Νικόλαος
G3533	Νικόπολις
G3534	νῖκος
G3535	Νινευΐ
G3536	Νινευΐτης
G3537	νιπτήρ
G3538	νίπτω
G3539	νοιέω
G3540	νόημα
G3541	νόθος
G3542	νομή
G3543	νομίζω
G3544	νομικός
G3545	νομίμως
G3546	νόμισμα
G3547	νομοδιδάσκαλος
G3548	νομοθεσία
G3549	νομοθετέω
G3550	νομοθέτης
G3551	νόμος
G3552	νοσέω
G3553	νόσημα
G3554	νόσος
G3555	νοσσιά
G3556	νοσσίον
G3557	νοσφίζομαι
G3558	νότος
G3559	νουθεσία
G3560	νουθετέω
G3561	νουμηνία
G3562	νουνεχῶς
G3563	νοῦς
G3564	Νυμφᾶς
G3565	νύμφη
G3566	νυμφίος
G3567	νυμφών
G3568	νῦν
G3569	τανῦν
G3570	νυνί
G3571	νύξ
G3572	νύσσω
G3573	νυστάζω
G3574	νυχθήμερον
G3575	Νῶε
G3576	νωθρός
G3577	νῶτος
G3578	ξενία
G3579	ξενίζω
G3580	ξενοδοχέω
G3581	ξένος
G3582	ξέστης
G3583	ξηραίνω
G3584	ξηρός
G3585	ξύλινος
G3586	ξύλον
G3587	ξυράω
G3588	ὁ
G3589	ὀγδοήκοντα
G3590	ὄγδοος
G3591	ὄγκος
G3592	ὅδε
G3593	ὁδεύω
G3594	ὁδηγέω
G3595	ὁδηγός
G3596	ὁδοιπορέω
G3597	ὁδοιπορία
G3598	ὁδός
G3599	ὀδούς
G3600	ὀδυνάω
G3601	ὀδύνη
G3602	ὀδυρμός
G3603	ὅ ἐστι
G3604	Ὀζίας
G3605	ὄζω
G3606	ὅθεν
G3607	ὀθόνη
G3608	ὀθόνιον
G3609	οἰκεῖος
G3610	οἰκέτης
G3611	οἰκέω
G3612	οἴκημα
G3613	οἰκητήριον
G3614	οἰκία
G3615	οἰκιακός
G3616	οἰκοδεσποτέω
G3617	οἰκοδεσπότης
G3618	οἰκοδομέω
G3619	οἰκοδομή
G3620	οἰκοδομία
G3621	οἰκονομέω
G3622	οἰκονομία
G3623	οἰκονόμος
G3624	οἶκος
G3625	οἰκουμένη
G3626	οἰκουρός
G3627	οἰκτείρω
G3628	οἰκτιρμός
G3629	οἰκτίρμων
G3630	οἰνοπότης
G3631	οἶνος
G3632	οἰνοφλυγία
G3633	οἴομαι
G3634	οἷος
G3635	ὀκνέω
G3636	ὀκνηρός
G3637	ὀκταήμερος
G3638	ὀκτώ
G3639	ὄλεθρος
G3640	ὀλιγόπιστος
G3641	ὀλίγος
G3642	ὀλιγόψυχος
G3643	ὀλιγωρέω
G3644	ὀλοθρευτής
G3645	ὀλοθρεύω
G3646	ὁλοκαύτωμα
G3647	ὁλοκληρία
G3648	ὁλόκληρος
G3649	ὀλολύζω
G3650	ὅλος
G3651	ὁλοτελής
G3652	Ὀλυμπᾶς
G3653	ὄλυνθος
G3654	ὅλως
G3655	ὄμβρος
G3656	ὁμιλέω
G3657	ὁμιλία
G3658	ὅμιλος
G3659	ὄμμα
G3660	ὀμνύω
G3661	ὁμοθυμαδόν
G3662	ὁμοιάζω
G3663	ὁμοιοπαθής
G3664	ὅμοιος
G3665	ὁμοιότης
G3666	ὁμοιόω
G3667	ὁμοίωμα
G3668	ὁμοίως
G3669	ὁμοίωσις
G3670	ὁμολογέω
G3671	ὁμολογία
G3672	ὁμολογουμένως
G3673	ὁμότεχνος
G3674	ὁμοῦ
G3675	ὁμόφρων
G3676	ὅμως
G3677	ὄναρ
G3678	ὀνάριον
G3679	ὀνειδίζω
G3680	ὀνειδισμός
G3681	ὄνειδος
G3682	Ὀνήσιμος
G3683	Ὀνησίφορος
G3684	ὀνικός
G3685	ὀνίνημι
G3686	ὄνομα
G3687	ὀνομάζω
G3688	ὄνος
G3689	ὄντως
G3690	ὄξος
G3691	ὀξύς
G3692	ὀπή
G3693	ὄπισθεν
G3694	ὀπίσω
G3695	ὁπλίζω
G3696	ὅπλον
G3697	ὁποῖος
G3698	ὁπότε
G3699	ὅπου
G3700	ὀπτάνομαι
G3701	ὀπτασία
G3702	ὀπτός
G3703	ὀπώρα
G3704	ὅπως
G3705	ὅραμα
G3706	ὅρασις
G3707	ὁρατός
G3708	ὁράω
G3709	ὀργή
G3710	ὀργίζω
G3711	ὀργίλος
G3712	ὀργυιά
G3713	ὀρέγομαι
G3714	ὀρεινός
G3715	ὄρεξις
G3716	ὀρθοποδέω
G3717	ὀρθός
G3718	ὀρθοτομέω
G3719	ὀρθρίζω
G3720	ὀρθρινός
G3721	ὄρθριος
G3722	ὄρθρος
G3723	ὀρθῶς
G3724	ὁρίζω
G3725	ὅριον
G3726	ὁρκίζω
G3727	ὅρκος
G3728	ὁρκωμοσία
G3729	ὁρμάω
G3730	ὁρμή
G3731	ὅρμημα
G3732	ὄρνεον
G3733	ὄρνις
G3734	ὁροθεσία
G3735	ὄρος
G3736	ὀρύσσω
G3737	ὀρφανός
G3738	ὀρχέομαι
G3739	ὅς
G3740	ὁσάκις
G3741	ὅσιος
G3742	ὁσιότης
G3743	ὁσίως
G3744	ὀσμή
G3745	ὅσος
G3746	ὅσπερ
G3747	ὀστέον
G3748	ὅστις
G3749	ὀστράκινος
G3750	ὄσφρησις
G3751	ὀσφῦς
G3752	ὅταν
G3753	ὅτε
G3754	ὅτι
G3755	ὅτου
G3756	οὐ
G3757	οὗ
G3758	οὐά
G3759	οὐαί
G3760	οὐδαμῶς
G3761	οὐδέ
G3762	οὐδείς
G3763	οὐδέποτε
G3764	οὐδέπω
G3765	οὐκέτι
G3766	οὐκοῦν
G3767	οὖν
G3768	οὔπω
G3769	οὐρά
G3770	οὐράνιος
G3771	οὐρανόθεν
G3772	οὐρανός
G3773	Οὐρβανός
G3774	Οὐρίας
G3775	οὖς
G3776	οὐσία
G3777	οὔτε
G3778	οὗτος
G3779	οὕτω
G3780	οὐχί
G3781	ὀφειλέτης
G3782	ὀφειλή
G3783	ὀφείλημα
G3784	ὀφείλω
G3785	ὄφελον
G3786	ὄφελος
G3787	ὀφθαλμοδουλεία
G3788	ὀφθαλμός
G3789	ὄφις
G3790	ὀφρῦς
G3791	ὀχλέω
G3792	ὀχλοποιέω
G3793	ὄχλος
G3794	ὀχύρωμα
G3795	ὀψάριον
G3796	ὀψέ
G3797	ὄψιμος
G3798	ὄψιος
G3799	ὄψις
G3800	ὀψώνιον
G3801	ὁ ὢν καί ὁ ἦν καί ὁ ἐρχόμενος
G3802	παγιδεύω
G3803	παγίς
G3804	πάθημα
G3805	παθητός
G3806	πάθος
G3807	παιδαγωγός
G3808	παιδάριον
G3809	παιδεία
G3810	παιδευτής
G3811	παιδεύω
G3812	παιδιόθεν
G3813	παιδίον
G3814	παιδίσκη
G3815	παίζω
G3816	παῖς
G3817	παίω
G3818	Πακατιανή
G3819	πάλαι
G3820	παλαιός
G3821	παλαιότης
G3822	παλαιόω
G3823	πάλη
G3824	παλιγγενεσία
G3825	πάλιν
G3826	παμπληθεί
G3827	πάμπολυς
G3828	Παμφυλία
G3829	πανδοχεῖον
G3830	πανδοχεύς
G3831	πανήγυρις
G3832	πανοικί
G3833	πανοπλία
G3834	πανουργία
G3835	πανοῦργος
G3836	πανταχόθεν
G3837	πανταχοῦ
G3838	παντελής
G3839	πάντη
G3840	πάντοθεν
G3841	παντοκράτωρ
G3842	πάντοτε
G3843	πάντως
G3844	παρά
G3845	παραβαίνω
G3846	παραβάλλω
G3847	παράβασις
G3848	παραβάτης
G3849	παραβιάζομαι
G3850	παραβολή
G3851	παραβουλεύομαι
G3852	παραγγελία
G3853	παραγγέλλω
G3854	παραγίνομαι
G3855	παράγω
G3856	παραδειγματίζω
G3857	παράδεισος
G3858	παραδέχομαι
G3859	παραδιατριβή
G3860	παραδίδωμι
G3861	παράδοξος
G3862	παράδοσις
G3863	παραζηλόω
G3864	παραθαλάσσιος
G3865	παραθεωρέω
G3866	παραθήκη
G3867	παραινέω
G3868	παραιτέομαι
G3869	παρακαθίζω
G3870	παρακαλέω
G3871	παρακαλύπτω
G3872	παρακαταθήκη
G3873	παράκειμαι
G3874	παράκλησις
G3875	παράκλητος
G3876	παρακοή
G3877	παρακολουθέω
G3878	παρακούω
G3879	παρακύπτω
G3880	παραλαμβάνω
G3881	παραλέγομαι
G3882	παράλιος
G3883	παραλλαγή
G3884	παραλογίζομαι
G3885	παραλυτικός
G3886	παραλύω
G3887	παραμένω
G3888	παραμυθέομαι
G3889	παραμυθία
G3890	παραμύθιον
G3891	παρανομέω
G3892	παρανομία
G3893	παραπικραίνω
G3894	παραπικρασμός
G3895	παραπίπτω
G3896	παραπλέω
G3897	παραπλήσιον
G3898	παραπλησίως
G3899	παραπορεύομαι
G3900	παράπτωμα
G3901	παραῤῥυέω
G3902	παράσημος
G3903	παρασκευάζω
G3904	παρασκευή
G3905	παρατείνω
G3906	παρατηρέω
G3907	παρατήρησις
G3908	παρατίθημι
G3909	παρατυγχάνω
G3910	παραυτίκα
G3911	παραφέρω
G3912	παραφρονέω
G3913	παραφρονία
G3914	παραχειμάζω
