G1	Α
G709	ἀριστάω
G710	ἀριστερός
G711	Ἀριστόβουλος
G712	ἄριστον
G713	ἀρκετός
G714	ἀρκέω
G715	ἄρκτος
G716	ἅρμα
G717	Ἀρμαγεδδών
G718	ἁρμόζω
G719	ἁρμός
G720	ἀρνέομαι
G721	ἀρνίον
G722	ἀροτριόω
G723	ἄροτρον
G724	ἁρπαγή
G725	ἁρπαγμός
G726	ἁρπάζω
G727	ἅρπαξ
G728	ἀῤῥαβών
G729	ἄῤῥαφος
G730	ἄῤῥην
G731	ἄῤῥητος
G732	ἄῤῥωστος
G733	ἀρσενοκοίτης
G734	Ἀρτεμάς
G735	Ἄρτεμις
G736	ἀρτέμων
G737	ἄρτι
G738	ἀρτιγέννητος
G739	ἄρτιος
G740	ἄρτος
G741	ἀρτύω
G742	Ἀρφαξάδ
G743	ἀρχάγγελος
G744	ἀρχαῖος
G745	Ἀρχέλαος
G746	ἀρχή
G747	ἀρχηγός
G748	ἀρχιερατικός
G749	ἀρχιερεύς
G750	ἀρχιποίμην
G751	Ἄρχιππος
G752	ἀρχισυνάγωγος
G753	ἀρχιτέκτων
G754	ἀρχιτελώνης
G755	ἀρχιτρίκλινος
G756	ἄρχομαι
G757	ἄρχω
G758	ἄρχων
G759	ἄρωμα
G760	Ἀσά
G761	ἀσάλευτος
G762	ἄσβεστος
G763	ἀσέβεια
G764	ἀσεβέω
G765	ἀσεβής
G766	ἀσέλγεια
G767	ἄσημος
G768	Ἀσήρ
G769	ἀσθένεια
G770	ἀσθενέω
G771	ἀσθένημα
G772	ἀσθενής
G773	Ἀσία
G774	Ἀσιανός
G775	Ἀσιάρχης
G776	ἀσιτία
G777	ἄσιτος
G778	ἀσκέω
G779	ἀσκός
G780	ἀσμένως
G781	ἄσοφος
G782	ἀσπάζομαι
G783	ἀσπασμός
G784	ἄσπιλος
G785	ἀσπίς
G786	ἄσπονδος
G787	ἀσσάριον
G788	ἆσσον
G789	Ἄσσος
G790	ἀστατέω
G791	ἀστεῖος
