390	L70390	אֹרֶךְ	subs	length
391	L70391	רֹחַב	subs	breadth
392	L70392	קֹומָה	subs	height
393	L70393	צֹהַר	subs	roof
394	L70394	מַעַל	subs	top
395	L70395	צַד	subs	side
396	L70396	תַּחְתִּי	adjv	lower
397	L70397	אֲנִי	prps	i
398	L70398	מַבּוּל	subs	deluge
399	L70399	גוע	verb	expire
400	L70400	בְּרִית	subs	covenant
401	L70401	אסף	verb	gather
402	L70402	טָהֹר	adjv	pure
403	L70403	יְקוּם	subs	substance
404	L70404	חֹדֶשׁ	subs	month
405	L70405	עָשָׂר	subs	-teen
406	L70406	בקע	verb	split
407	L70407	מַעְיָן	subs	well
408	L70408	אֲרֻבָּה	subs	hole
409	L70409	פתח	verb	open
410	L70410	גֶּשֶׁם	subs	rain
411	L70411	צִפֹּור	subs	bird
412	L70412	בַּעַד	subs	distance
413	L70413	רום	verb	be high
414	L70414	גבר	verb	be superior
415	L70415	כסה	verb	cover
416	L70416	הַר	subs	mountain
417	L70417	גָּבֹהַּ	adjv	high
418	L70418	חָרָבָה	subs	dry ground
419	L70419	שׁאר	verb	remain
420	L70420	אַךְ	advb	only
421	L70421	זכר	verb	remember
422	L70422	עבר	verb	pass
423	L70423	שׁכך	verb	go down
424	L70424	סכר	verb	stop
425	L70425	כלא	verb	restrain
426	L70426	חסר	verb	diminish
427	L70427	קָצֶה	subs	end
428	L70428	אֲרָרַט	nmpr	Ararat
429	L70429	עֲשִׂירִי	adjv	tenth
430	L70430	חַלֹּון	subs	window
431	L70431	עֹרֵב	subs	raven
432	L70432	יבשׁ	verb	be dry
433	L70433	יֹונָה	subs	dove
434	L70434	קלל	verb	be slight
435	L70435	מָנֹוחַ	subs	resting place
436	L70436	כַּף	subs	palm
437	L70437	רֶגֶל	subs	foot
438	L70438	חיל	verb	wait
439	L70439	עֵת	subs	time
440	L70440	זַיִת	subs	olive
441	L70441	טָרָף	adjv	fresh plucked
442	L70442	יחל	verb	wait, to hope
443	L70443	רִאשֹׁון	adjv	first
444	L70444	חרב	verb	be dry
445	L70445	סור	verb	turn aside
446	L70446	מִכְסֶה	subs	covering
447	L70447	דבר	verb	speak
448	L70448	מִשְׁפָּחָה	subs	clan
449	L70449	מִזְבֵּחַ	subs	altar
450	L70450	עֹלָה	subs	burnt-offering
451	L70451	רוח	verb	be spacious
452	L70452	רֵיחַ	subs	scent
453	L70453	נִיחֹחַ	subs	smell of appeasement
454	L70454	נְעוּרִים	subs	youth
455	L70455	קָצִיר	subs	harvest
456	L70456	קֹר	subs	cold
457	L70457	חֹם	subs	heat
458	L70458	קַיִץ	subs	summer
459	L70459	חֹרֶף	subs	autumn
460	L70460	מֹורָא	subs	fear
461	L70461	חַת	subs	terror
462	L70462	דָּג	subs	fish
463	L70463	דרשׁ	verb	inquire
464	L70464	שׁפך	verb	pour
465	L70465	אַתֶּם	prps	you
466	L70466	כרת	verb	cut
467	L70467	קֶשֶׁת	subs	bow
468	L70468	עָנָן	subs	cloud
469	L70469	ענן	verb	appear
470	L70470	כְּנַעַן	nmpr	Canaan
471	L70471	נפץ	verb	shatter
472	L70472	כֶּרֶם	subs	vineyard
473	L70473	שׁתה	verb	drink
474	L70474	יַיִן	subs	wine
475	L70475	שׁכר	verb	be drunk
476	L70476	גלה	verb	uncover
477	L70477	עֶרְוָה	subs	nakedness
478	L70478	שִׂמְלָה	subs	mantle
479	L70479	שְׁכֶם	subs	shoulder
480	L70480	אֲחֹרַנִּית	advb	backwards
481	L70481	יקץ	verb	awake
482	L70482	קָטָן	adjv	small
483	L70483	עֶבֶד	subs	servant
484	L70484	פתה	verb	be spacious
485	L70485	גֹּמֶר	nmpr	Gomer
486	L70486	מָגֹוג	nmpr	Magog
487	L70487	מָדַי	nmpr	Media
488	L70488	יָוָן	nmpr	[jawan, Greece]
489	L70489	תֻּבַל	nmpr	Tubal
490	L70490	מֶשֶׁךְ	nmpr	Meshech
491	L70491	תִּירָס	nmpr	Tiras
492	L70492	אַשְׁכֲּנַז	nmpr	Ashkenaz
493	L70493	רִיפַת	nmpr	Riphath
494	L70494	תֹּוגַרְמָה	nmpr	Togarmah
495	L70495	אֱלִישָׁה	nmpr	Elishah
496	L70496	תַּרְשִׁישׁ	nmpr	Tarshish
497	L70497	כִּתִּיִּים	nmpr	Kittim
498	L70498	דֹּדָנִים	nmpr	Rodanim
499	L70499	אִי	subs	coast, island
500	L70500	גֹּוי	subs	people
501	L70501	לָשֹׁון	subs	tongue
502	L70502	מִצְרַיִם	nmpr	Egypt
503	L70503	פּוּט	nmpr	Put
504	L70504	כּוּשׁ	nmpr	Cush
505	L70505	סְבָא	nmpr	Seba
506	L70506	סַבְתָּא	nmpr	Sabta
507	L70507	רַעְמָה	nmpr	Raamah
508	L70508	סַבְתְּכָא	nmpr	Sabteca
509	L70509	שְׁבָא	nmpr	Sheba
510	L70510	דְּדָן	nmpr	Dedan
511	L70511	נִמְרֹד	nmpr	Nimrod
512	L70512	צַיִד	subs	hunting
513	L70513	מַמְלֶכֶת	subs	kingdom
514	L70514	בָּבֶל	nmpr	Babel
515	L70515	אֶרֶךְ	nmpr	Erech
516	L70516	אַכַּד	nmpr	Akkad
517	L70517	כַּלְנֵה	nmpr	Calneh
518	L70518	שִׁנְעָר	nmpr	Shinar
519	L70519	נִינְוֵה	nmpr	Nineveh
520	L70520	רְחֹבֹת עִיר	nmpr	Rehoboth Ir
521	L70521	כֶּלַח	nmpr	Calah
522	L70522	רֶסֶן	nmpr	Resen
523	L70523	לוּדִים	nmpr	Ludites
524	L70524	עֲנָמִים	nmpr	Anamites
525	L70525	לְהָבִים	nmpr	Lehabites
526	L70526	נַפְתֻּחִים	nmpr	Naphtuhites
527	L70527	פַּתְרֻסִים	nmpr	Pathrusites
528	L70528	כַּסְלֻחִים	nmpr	Casluhites
529	L70529	פְּלִשְׁתִּי	adjv	Philistine
530	L70530	כַּפְתֹּרִי	adjv	Caphtorite
531	L70531	צִידֹון	nmpr	Sidon
532	L70532	חֵת	nmpr	Heth
533	L70533	יְבוּסִי	adjv	Jebusite
534	L70534	אֱמֹרִי	adjv	Amorite
535	L70535	גִּרְגָּשִׁי	adjv	Girgashite
536	L70536	חִוִּי	adjv	Hivite
537	L70537	עַרְקִי	adjv	Arkite
538	L70538	סִינִי	adjv	Sinite
539	L70539	אַרְוָדִי	adjv	Arvadite
540	L70540	צְמָרִי	adjv	Zemarite
541	L70541	חֲמָתִי	adjv	Hamathite
542	L70542	פוץ	verb	disperse
543	L70543	כְּנַעֲנִי	adjv	Canaanite
544	L70544	גְּבוּל	subs	boundary
545	L70545	גְּרָר	nmpr	Gerar
546	L70546	עַזָּה	nmpr	Gaza
547	L70547	סְדֹם	nmpr	Sodom
548	L70548	עֲמֹרָה	nmpr	Gomorrah
549	L70549	אַדְמָה	nmpr	Admah
550	L70550	צְבֹאיִם	nmpr	Zeboiim
551	L70551	לֶשַׁע	nmpr	Lasha
552	L70552	עֵבֶר	nmpr	Eber
553	L70553	עֵילָם	nmpr	Elam
554	L70554	אַרְפַּכְשָׁד	nmpr	Arpachshad
555	L70555	לוּד	nmpr	Lud
556	L70556	אֲרָם	nmpr	Aram
557	L70557	עוּץ	nmpr	Uz
558	L70558	חוּל	nmpr	Hul
559	L70559	גֶּתֶר	nmpr	Gether
560	L70560	מַשׁ	nmpr	Meshech
561	L70561	שֶׁלַח	nmpr	Shelah
562	L70562	פֶּלֶג	nmpr	Peleg
563	L70563	פלג	verb	divide
564	L70564	יָקְטָן	nmpr	Joktan
565	L70565	אַלְמֹודָד	nmpr	Almodad
566	L70566	שֶׁלֶף	nmpr	Sheleph
567	L70567	חֲצַרְמָוֶת	nmpr	Hazarmaveth
568	L70568	יֶרַח	nmpr	Jerah
569	L70569	הֲדֹורָם	nmpr	Hadoram
570	L70570	אוּזָל	nmpr	Uzal
571	L70571	דִּקְלָה	nmpr	Diklah
572	L70572	עֹובָל	nmpr	Obal
573	L70573	אֲבִימָאֵל	nmpr	Abimael
574	L70574	אֹופִיר	nmpr	[land of gold]
575	L70575	יֹובָב	nmpr	Jobab
576	L70576	מֹושָׁב	subs	seat
577	L70577	מֵשָׁא	nmpr	Mesha
578	L70578	סְפָר	nmpr	Sephar
579	L70579	שָׂפָה	subs	lip
580	L70580	דָּבָר	subs	word
581	L70581	נסע	verb	pull out
582	L70582	בִּקְעָה	subs	valley
583	L70583	רֵעַ	subs	fellow
584	L70584	יהב	verb	give
585	L70585	לבן	verb	make brick
586	L70586	לְבֵנָה	subs	brick
587	L70587	שׂרף	verb	burn
588	L70588	שְׂרֵפָה	subs	burning
589	L70589	חֵמָר	subs	bitumen
590	L70590	חֹמֶר	subs	clay
591	L70591	מִגְדָּל	subs	tower
592	L70592	ירד	verb	descend
593	L70593	עַם	subs	people
594	L70594	בצר	verb	be impossible
595	L70595	זמם	verb	ponder
596	L70596	בלל	verb	moisten, confound
597	L70597	חדל	verb	cease
598	L70598	רְעוּ	nmpr	Reu
599	L70599	שְׂרוּג	nmpr	Serug
600	L70600	נָחֹור	nmpr	Nahor
601	L70601	תֶּרַח	nmpr	Terah
602	L70602	אַבְרָם	nmpr	Abram
603	L70603	הָרָן	nmpr	Haran
604	L70604	לֹוט	nmpr	Lot
605	L70605	מֹולֶדֶת	subs	offspring
606	L70606	אוּר	nmpr	[ur of chaldeans]
607	L70607	כַּשְׂדִּים	nmpr	Chaldeans
608	L70608	שָׂרַי	nmpr	Sarai
609	L70609	מִלְכָּה	nmpr	Milcah
610	L70610	יִסְכָּה	nmpr	Iscah
611	L70611	עָקָר	adjv	barren
612	L70612	וָלָד	subs	child
613	L70613	כַּלָּה	subs	bride
614	L70614	חָרָן	nmpr	[town]
615	L70615	גדל	verb	be strong
616	L70616	בְּרָכָה	subs	blessing
617	L70617	רְכוּשׁ	subs	property
618	L70618	רכשׁ	verb	gather
619	L70619	שְׁכֶם	nmpr	Shechem
620	L70620	אֵלֹון	subs	big tree
621	L70621	מֹורֶה	nmpr	Moreh
622	L70622	עתק	verb	advance
623	L70623	בֵּית אֵל	nmpr	Bethel
624	L70624	נטה	verb	extend
625	L70625	עַי	nmpr	Ai
626	L70626	נֶגֶב	subs	south
627	L70627	רָעָב	subs	hunger
628	L70628	גור	verb	dwell
629	L70629	כָּבֵד	adjv	heavy
630	L70630	קרב	verb	approach
631	L70631	נָא	intj	yeah
632	L70632	יָפֶה	adjv	beautiful
633	L70633	אַתְּ	prps	you
634	L70634	מִצְרִי	adjv	Egyptian
635	L70635	לְמַעַן	prep	because of
636	L70636	גָּלָל	subs	matter
637	L70637	שַׂר	subs	chief
638	L70638	פַּרְעֹה	subs	pharaoh
639	L70639	הלל	verb	praise
640	L70640	בָּקָר	subs	cattle
641	L70641	חֲמֹור	subs	he-ass
642	L70642	שִׁפְחָה	subs	maidservant
643	L70643	אָתֹון	subs	she-ass
644	L70644	גָּמָל	subs	camel
645	L70645	נֶגַע	subs	stroke
646	L70646	כֶּסֶף	subs	silver
647	L70647	מַסַּע	subs	breaking
648	L70648	תְּחִלָּה	subs	beginning
649	L70649	יַחְדָּו	advb	together
650	L70650	יכל	verb	be able
651	L70651	רִיב	subs	law-case
652	L70652	פְּרִזִּי	adjv	Perizzite
653	L70653	אַל	nega	not
654	L70654	מְרִיבָה	subs	quarrel
655	L70655	אֲנַחְנוּ	prps	we
656	L70656	שְׂמֹאל	subs	lefthand side
657	L70657	ימן	verb	go to right
658	L70658	יָמִין	subs	right-hand side
659	L70659	שׂמאל	verb	turn left
660	L70660	כִּכָּר	subs	disk
661	L70661	יַרְדֵּן	nmpr	Jordan
662	L70662	מַשְׁקֶה	subs	butler, irrigated, drink
663	L70663	צֹעַר	nmpr	Zoar
664	L70664	אהל	verb	pitch a tent
665	L70665	חַטָּא	adjv	sinful
666	L70666	צָפֹון	subs	north
667	L70667	מנה	verb	count
668	L70668	מַמְרֵא	nmpr	Mamre
669	L70669	חֶבְרֹון	nmpr	Hebron
670	L70670	אַמְרָפֶל	nmpr	Amraphel
671	L70671	מֶלֶךְ	subs	king
672	L70672	אַרְיֹוךְ	nmpr	Arioch
673	L70673	אֶלָּסָר	nmpr	Ellasar
674	L70674	כְּדָרְלָעֹמֶר	nmpr	Kedorlaomer
675	L70675	תִּדְעָל	nmpr	Tidal
676	L70676	גֹּויִם	nmpr	Goyim
677	L70677	מִלְחָמָה	subs	war
678	L70678	בֶּרַע	nmpr	Bera
679	L70679	בִּרְשַׁע	nmpr	Birsha
680	L70680	שִׁנְאָב	nmpr	Shinab
681	L70681	שֶׁמְאֵבֶר	nmpr	Shemeber
682	L70682	בֶּלַע	nmpr	Bela
683	L70683	חבר	verb	be united
684	L70684	עֵמֶק	subs	valley
685	L70685	שִׂדִּים	nmpr	Siddim
